Feature,Desc.,Count,% of Missing,Card.,Mode,Mode Freq.,Mode %,2nd Mode,2nd Mode Freq.,2nd Mode %,Notes
encounter_id,Unique identifier of an encounter,101766,0.0,101766,12522,1,0.0,2278392,1,0.0,
patient_nbr,Unique identifier of a patient,101766,0.0,71518,88785891,40,0.04,43140906,28,0.03,
admission_type_id,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",101766,0.0,8,1,53990,53.05,3,18869,18.54,
discharge_disposition_id,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",101766,0.0,26,1,60234,59.19,3,13954,13.71,
admission_source_id,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",101766,0.0,17,7,57494,56.5,1,29565,29.05,
time_in_hospital,Integer number of days between admission and discharge,101766,0.0,14,3,17756,17.45,2,17224,16.93,
num_lab_procedures,Number of lab tests performed during the encounter,101766,0.0,118,1,3208,3.15,43,2804,2.76,
num_procedures,Number of procedures (other than lab tests) performed during the encounter,101766,0.0,7,0,46652,45.84,1,20742,20.38,
num_medications,Number of distinct generic names administered during the encounter,101766,0.0,75,13,6086,5.98,12,6004,5.9,
number_outpatient,Number of outpatient visits of the patient in the year preceding the encounter,101766,0.0,39,0,85027,83.55,1,8547,8.4,
number_emergency,Number of emergency visits of the patient in the year preceding the encounter,101766,0.0,33,0,90383,88.81,1,7677,7.54,
number_inpatient,Number of inpatient visits of the patient in the year preceding the encounter,101766,0.0,21,0,67630,66.46,1,19521,19.18,
number_diagnoses,Number of diagnoses entered to the system,101766,0.0,16,9,49474,48.62,5,11393,11.2,
